appropriate	apropiado
course	curso
debate	debate
declare	declaro
difficult	difícil
european	europea
european	europeo
explosions	explosiones
kumar	kumar
lanka	lanka
lankan	lanka
materialise	naturales
minute	minuto
natural	naturales
parliament	parlamento
period	período
pleasant	pasado
ponnambalam	ponnambalam
possibly	posible
president	presidenta
president	presidente
press	prensa
reconciliation	reconciliación
session	sesiones
silence	silencio
situation	situación
television	televisión
union	unión
victims	víctimas
violent	violentas
visited	visitó
